tokenizer,num_words,boundary_precision,boundary_recall,boundary_f1,total_true_positive,total_false_positive,total_false_negative
bert-base-multilingual-cased,30,0.38333333333333336,0.55,0.43333333333333335,19,31,14
custom_bpe,30,0.008333333333333333,0.016666666666666666,0.01111111111111111,1,83,32
custom_unigram,30,0.025595238095238095,0.11666666666666667,0.041666666666666664,4,106,29
google/mt5-small,30,0.3722222222222222,0.55,0.42777777777777776,19,23,14
xlm-roberta-base,30,0.3722222222222222,0.6,0.44111111111111106,20,27,13
