tokenizer,num_words,boundary_precision,boundary_recall,boundary_f1,total_true_positive,total_false_positive,total_false_negative
bert-base-multilingual-cased,30,0.32111111111111107,0.5777777777777777,0.3995238095238095,28,62,22
custom_bpe,30,0.03333333333333333,0.016666666666666666,0.02222222222222222,1,2,49
custom_unigram,30,0.07777777777777777,0.05555555555555555,0.05,3,4,47
google/mt5-small,30,0.405,0.5833333333333334,0.46253968253968253,29,45,21
xlm-roberta-base,30,0.3722222222222222,0.6166666666666667,0.4456349206349206,30,50,20
