tokenizer,num_words,boundary_precision,boundary_recall,boundary_f1,total_true_positive,total_false_positive,total_false_negative
bert-base-multilingual-cased,30,0.24992063492063493,0.5444444444444444,0.33880952380952384,27,69,20
custom_bpe,30,0.05944444444444444,0.1277777777777778,0.07833333333333334,6,73,41
custom_unigram,30,0.05111111111111111,0.13333333333333333,0.07126984126984127,6,97,41
google/mt5-small,30,0.30738095238095237,0.5166666666666667,0.3758730158730159,27,57,20
xlm-roberta-base,30,0.3438095238095238,0.6555555555555556,0.4406878306878307,32,61,15
